executed_at,chain,platform,application,transaction_id,trade_uuid,type,amount,token_symbol,token_original_id,token_symbol_uuid,caaj_from,caaj_to,comment
2022-02-25 00:29:43,kava,kava,send,E5DA0D701FDFF486BAFEC5B6612E1E47937E8A0384585A745B8A1531E45D6359,c48d9532-42b2-43cf-aea2-178da2e46569,receive,4.98,kava,,,kava1hm7869pw9jgsmvn490d20vzg6xg9kr7hvcgsk8,kava1tuwkvw5w8s4qufsxu934fxjn8kr4hd6hydfmzm,kava1tuwkvw5w8s4qufsxu934fxjn8kr4hd6hydfmzm receive 4.98 kava from kava1hm7869pw9jgsmvn490d20vzg6xg9kr7hvcgsk8
2022-02-25 00:29:43,kava,kava,kava,E5DA0D701FDFF486BAFEC5B6612E1E47937E8A0384585A745B8A1531E45D6359,c48d9532-42b2-43cf-aea2-178da2e46569,lose,0.0003,kava,,265cf8a8-87de-4ee3-9ac0-292df9b8d52d,kava1tuwkvw5w8s4qufsxu934fxjn8kr4hd6hydfmzm,fee,
2022-02-25 00:53:32,kava,kava,send,B8DE78E2ADF29CB8B1D5D1046FF8F5B34C564FCB0C8A2AF327AE7F6071FEFC27,74129a04-7cbd-43b2-983c-2c221295fb65,receive,164.98,kava,,,kava1hm7869pw9jgsmvn490d20vzg6xg9kr7hvcgsk8,kava1tuwkvw5w8s4qufsxu934fxjn8kr4hd6hydfmzm,kava1tuwkvw5w8s4qufsxu934fxjn8kr4hd6hydfmzm receive 164.98 kava from kava1hm7869pw9jgsmvn490d20vzg6xg9kr7hvcgsk8
2022-02-25 00:53:32,kava,kava,kava,B8DE78E2ADF29CB8B1D5D1046FF8F5B34C564FCB0C8A2AF327AE7F6071FEFC27,74129a04-7cbd-43b2-983c-2c221295fb65,lose,0.0003,kava,,265cf8a8-87de-4ee3-9ac0-292df9b8d52d,kava1tuwkvw5w8s4qufsxu934fxjn8kr4hd6hydfmzm,fee,
2022-02-25 01:00:12,kava,kava,delegate,15DA415BB07DF9C28D7F65C8FCB6CCDC861C0345C46673DEFE760F15983B2443,eca4f658-4254-44c4-b22b-554bf760a039,deposit,169.959655,kava,,,kava1tuwkvw5w8s4qufsxu934fxjn8kr4hd6hydfmzm,kava_validator,staking 169.959655 kava
2022-02-25 01:00:12,kava,kava,kava,15DA415BB07DF9C28D7F65C8FCB6CCDC861C0345C46673DEFE760F15983B2443,eca4f658-4254-44c4-b22b-554bf760a039,lose,0.000345,kava,,265cf8a8-87de-4ee3-9ac0-292df9b8d52d,kava1tuwkvw5w8s4qufsxu934fxjn8kr4hd6hydfmzm,fee,
2022-03-28 19:30:02,kava,kava,send,31D15B47B3C35489E74C62444162DED4123832C31C566241075735407C08EBB1,fee878f9-5791-4a0e-a490-044edc912d13,receive,1.78,kava,,,kava1hm7869pw9jgsmvn490d20vzg6xg9kr7hvcgsk8,kava1tuwkvw5w8s4qufsxu934fxjn8kr4hd6hydfmzm,kava1tuwkvw5w8s4qufsxu934fxjn8kr4hd6hydfmzm receive 1.78 kava from kava1hm7869pw9jgsmvn490d20vzg6xg9kr7hvcgsk8
2022-03-28 19:30:02,kava,kava,kava,31D15B47B3C35489E74C62444162DED4123832C31C566241075735407C08EBB1,fee878f9-5791-4a0e-a490-044edc912d13,lose,0.0003,kava,,265cf8a8-87de-4ee3-9ac0-292df9b8d52d,kava1tuwkvw5w8s4qufsxu934fxjn8kr4hd6hydfmzm,fee,
2022-03-28 21:04:26,kava,kava,kava,788B20A91B4B52E793C306A5408145B99B5699A858D57E00F22760725C1D4067,0ef89aaf-c0d6-43cb-9df3-614bebdf3a6a,lose,0.000297,kava,,265cf8a8-87de-4ee3-9ac0-292df9b8d52d,kava1tuwkvw5w8s4qufsxu934fxjn8kr4hd6hydfmzm,fee,
2022-03-28 21:04:26,kava,kava,kava staking reward,788B20A91B4B52E793C306A5408145B99B5699A858D57E00F22760725C1D4067,0ef89aaf-c0d6-43cb-9df3-614bebdf3a6a,get,4.260441,kava,,,kava_staking_reward,kava1tuwkvw5w8s4qufsxu934fxjn8kr4hd6hydfmzm,staking reward 4.260441 kava
